protocol,variant,run_id,psnr_mean,train_seconds_mean,gaussians_mean
7k_r4,baseline,4b7e3a0a-17b7-411c-829a-a0fb73f9d903,26.4389950353,76.6028869748,918462.75
7k_r4,seed20,ed9410f8-a405-4124-9fa1-08ee5fe1a03b,26.4471489777,76.4518289864,919321.0
7k_r4,split20,5c6e7542-9769-479f-9b20-90861a62929e,26.4253344717,76.8537608236,918979.1875
30k_r4,baseline,b0cabdea-01cb-41c7-93d9-862ce4ab883d,27.9104039572,356.1468938589,960996.9375
30k_r4,seed20,c79666fc-9751-4dab-9b7a-c9b30a2f9d2c,27.9232831823,356.2116356790,962967.5625
30k_r4,split20,ac6bd217-c929-47cc-80b5-4e87de478057,27.9251257822,356.4048928767,961640.625
30k_r4,combined20,20fb80e0-04ec-4afb-bb53-aa5f830874fa,27.9512820925,356.9934956878,966012.25
30k_native,baseline,38232635-91c8-488a-ba53-5b03ea00c421,26.7711494011,834.1737990081,2050139.75
30k_native,half_threshold,5f1a9b9c-20f8-46cd-bf4f-886bf9b0b36d,26.5334966985,1374.6583691984,4711510.625
30k_native,seed5,1dfc71e8-9f11-427a-be08-872b44ae7ead,26.7572943371,838.1658859551,2052064.875
30k_native,seed1,8d6126cc-99c9-49f5-8596-39fc336fe5fc,26.7716715688,836.8195883185,2053141.8125
30k_native,seed20,f32ba469-e953-4dae-9667-babfcf5e1b3c,26.7984364915,835.9449169040,2051671.125
30k_native,seed20_nearest,e52180b4-4be0-4ddb-a1c4-81ffdf3abd4e,26.7814683876,846.9598353952,2046419.625
30k_native,seed100,ec859214-7712-4fd1-9a68-53aaccea9a25,26.7972816895,838.7463387996,2062040.5
30k_native,split5,a9cfdbe2-da08-4ba2-af11-f081e1009501,26.7574325455,839.4870619625,2051521.3125
30k_native,split20,c285eb58-8b39-426b-bbd7-ab6e25dec5f3,26.8038807117,834.3630722165,2052852.3125
30k_native,split20_late,07929eaf-56a1-4760-9bdd-5f94cd8cd859,26.7692872907,838.8947680444,2051127.8125
30k_native,split20_early,69283e8f-0176-46f1-ba8e-aba87b2a20ff,26.7722260743,837.4511458427,2053099.625
30k_native,split20_middle,4ea84d97-2bd3-4a80-a3e3-541245b8637d,26.7721281026,837.5801160634,2053697.5625
30k_native,split20_distributed48,f3704dc1-23d8-48da-8c57-e0ed90858ab2,26.7862097893,838.3205453902,2049967.6875
30k_native,split20_scaleweighted,d05dc257-ae20-4407-ae29-55eb6e42f914,26.7875144511,838.3697824180,2054183.875
30k_native,split100,21dba69d-0989-4e51-8492-7905e110d6e3,26.7912851195,839.1912401319,2063757.1875
30k_native,split200,30c263b6-680e-4a7c-8c00-39478bedd26a,26.7935533441,845.3535686284,2073945.5625
30k_native,combined20,8f16b2bf-2d37-4758-bd8b-2caae5416a59,26.7384689082,837.0480765998,2054488.3125
30k_native,combined10,7f849db9-2abb-4547-b34f-10c305590e00,26.7723881399,840.8121795654,2054951.625
30k_native,alternating20,ca995fd3-d3d3-42a6-a72e-365f26572454,26.7968726643,836.7458109856,2054578.8125
30k_native,baseline_seedblock_b,0a770a90-b21d-4943-8de6-30d8d7c546c6,26.7385968512,836.6682713181,2051806.8125
30k_native,split20_seedblock_b,10f94486-ec89-4c33-bb5a-b06f2f83c8f4,26.7531431417,836.7553156167,2053675.625
30k_native,split20_distributed_sparse,f3704dc1-23d8-48da-8c57-e0ed90858ab2,26.7862097893,838.3205453902,2049967.6875
30k_r4,combined20,20fb80e0-04ec-4afb-bb53-aa5f830874fa,27.9512820925,356.9934956878,966012.25
