scene,variant,run_id,psnr_mean,psnr_std,gaussians_mean
drjohnson,baseline,38232635-91c8-488a-ba53-5b03ea00c421,29.299235,0.044577,3167668.2
playroom,baseline,38232635-91c8-488a-ba53-5b03ea00c421,30.336821,0.087777,1888612.8
train,baseline,38232635-91c8-488a-ba53-5b03ea00c421,22.040118,0.103832,1098483.8
truck,baseline,38232635-91c8-488a-ba53-5b03ea00c421,25.408424,0.031005,2045794.2
drjohnson,seed5,1dfc71e8-9f11-427a-be08-872b44ae7ead,29.308596,0.058176,3168154.0
playroom,seed5,1dfc71e8-9f11-427a-be08-872b44ae7ead,30.232478,0.055540,1892268.2
train,seed5,1dfc71e8-9f11-427a-be08-872b44ae7ead,22.080542,0.145936,1099883.8
truck,seed5,1dfc71e8-9f11-427a-be08-872b44ae7ead,25.407562,0.111382,2047953.5
drjohnson,seed20,f32ba469-e953-4dae-9667-babfcf5e1b3c,29.300089,0.037473,3168523.8
playroom,seed20,f32ba469-e953-4dae-9667-babfcf5e1b3c,30.322737,0.070359,1888949.2
train,seed20,f32ba469-e953-4dae-9667-babfcf5e1b3c,22.173436,0.197770,1099766.8
truck,seed20,f32ba469-e953-4dae-9667-babfcf5e1b3c,25.397484,0.061682,2049444.8
drjohnson,split5,a9cfdbe2-da08-4ba2-af11-f081e1009501,29.317099,0.048903,3170870.0
playroom,split5,a9cfdbe2-da08-4ba2-af11-f081e1009501,30.309962,0.040565,1885880.2
train,split5,a9cfdbe2-da08-4ba2-af11-f081e1009501,22.044384,0.149980,1096706.8
truck,split5,a9cfdbe2-da08-4ba2-af11-f081e1009501,25.358285,0.054731,2052628.2
drjohnson,split20,c285eb58-8b39-426b-bbd7-ab6e25dec5f3,29.333204,0.037388,3168314.8
playroom,split20,c285eb58-8b39-426b-bbd7-ab6e25dec5f3,30.354950,0.100723,1894304.2
train,split20,c285eb58-8b39-426b-bbd7-ab6e25dec5f3,22.142424,0.108123,1098143.5
truck,split20,c285eb58-8b39-426b-bbd7-ab6e25dec5f3,25.384945,0.067546,2050646.8
drjohnson,split100,21dba69d-0989-4e51-8492-7905e110d6e3,29.375976,0.082813,3183479.8
playroom,split100,21dba69d-0989-4e51-8492-7905e110d6e3,30.352600,0.056562,1902655.2
train,split100,21dba69d-0989-4e51-8492-7905e110d6e3,22.064668,0.132043,1108687.0
truck,split100,21dba69d-0989-4e51-8492-7905e110d6e3,25.371897,0.087915,2060206.8
drjohnson,split200,30c263b6-680e-4a7c-8c00-39478bedd26a,29.336692,0.048848,3192706.8
playroom,split200,30c263b6-680e-4a7c-8c00-39478bedd26a,30.335910,0.083703,1916603.0
train,split200,30c263b6-680e-4a7c-8c00-39478bedd26a,22.120784,0.192027,1116566.8
truck,split200,30c263b6-680e-4a7c-8c00-39478bedd26a,25.380828,0.061622,2069905.8
drjohnson,combined20,8f16b2bf-2d37-4758-bd8b-2caae5416a59,29.263860,0.073618,3168237.0
playroom,combined20,8f16b2bf-2d37-4758-bd8b-2caae5416a59,30.269711,0.057523,1896208.8
train,combined20,8f16b2bf-2d37-4758-bd8b-2caae5416a59,22.031997,0.165437,1101026.0
truck,combined20,8f16b2bf-2d37-4758-bd8b-2caae5416a59,25.388309,0.010843,2052481.5
drjohnson,alternating20,ca995fd3-d3d3-42a6-a72e-365f26572454,29.349489,0.048960,3170240.8
playroom,alternating20,ca995fd3-d3d3-42a6-a72e-365f26572454,30.260427,0.047208,1894625.5
train,alternating20,ca995fd3-d3d3-42a6-a72e-365f26572454,22.187325,0.127218,1101235.2
truck,alternating20,ca995fd3-d3d3-42a6-a72e-365f26572454,25.390250,0.027338,2052213.8
